temperature,relative humidity,precipitation,surface pressure
19.1,92.0,0.1,908.7
19.1,92.0,0.0,909.2
19.8,84.0,0.0,910.1
18.45,83.0,0.0,911.3
14.8,79.0,0.0,912.4
15.4,73.0,0.0,913.1
15.850000000000001,59.0,0.0,914.4
16.7,56.0,0.0,914.0
18.6,61.0,0.0,912.3
19.8,72.0,0.0,910.7
18.8,78.0,0.0,910.8
20.4,86.0,0.0,910.5
20.5,88.0,0.1,911.8
21.8,86.0,0.0,912.6
21.65,82.0,0.0,913.4
19.7,81.0,0.0,912.8
17.3,76.0,0.0,914.8
15.8,78.0,0.0,916.1
16.7,72.0,0.0,916.5
18.8,69.5,0.0,915.3
23.0,60.0,0.0,914.25
22.6,80.0,0.0,912.2
23.9,71.5,0.0,911.5
23.3,76.0,0.0,911.8
